"Town/County","FIPS","Year","NAICS Code","Industry Name","Rank","Measure Type","Variable","Value"
"Andover","0901301080",2014,"23","Construction",-1,"Number","Annual Average Employment",43.17
"Andover","0901301080",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",55289.8
"Andover","0901301080",2014,"23","Construction",-1,"Number","Number of Employers",12
"Andover","0901301080",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Andover","0901301080",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Andover","0901301080",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Andover","0901301080",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",-9999
"Andover","0901301080",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",-9999
"Andover","0901301080",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",-9999
"Andover","0901301080",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",380.5
"Andover","0901301080",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",38107.6
"Andover","0901301080",2014,"","Total - All Industries",-1,"Number","Number of Employers",50
"Andover","0901301080",2014,"","Total Government",-1,"Number","Annual Average Employment",86.58
"Andover","0901301080",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",43122.5
"Andover","0901301080",2014,"","Total Government",-1,"Number","Number of Employers",4
"Andover","0901301080",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",84.75
"Andover","0901301080",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",42601.1
"Andover","0901301080",2014,"","Local/Municipal Government",1,"Number","Number of Employers",3
"Andover","0901301080",2014,"56","Administrative and Waste Services",2,"Number","Annual Average Employment",27.92
"Andover","0901301080",2014,"56","Administrative and Waste Services",2,"US Dollars","Annual Average Wage",15536
"Andover","0901301080",2014,"56","Administrative and Waste Services",2,"Number","Number of Employers",5
"Andover","0901301080",2014,"62","Health Care and Social Assistance",3,"Number","Annual Average Employment",25.75
"Andover","0901301080",2014,"62","Health Care and Social Assistance",3,"US Dollars","Annual Average Wage",26572.3
"Andover","0901301080",2014,"62","Health Care and Social Assistance",3,"Number","Number of Employers",3
"Andover","0901301080",2015,"23","Construction",-1,"Number","Annual Average Employment",44.33
"Andover","0901301080",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",54949.4
"Andover","0901301080",2015,"23","Construction",-1,"Number","Number of Employers",11
"Andover","0901301080",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Andover","0901301080",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Andover","0901301080",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Andover","0901301080",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",13.17
"Andover","0901301080",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",13737.1
"Andover","0901301080",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",3
"Andover","0901301080",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",372.08
"Andover","0901301080",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",35156.1
"Andover","0901301080",2015,"","Total - All Industries",-1,"Number","Number of Employers",52
"Andover","0901301080",2015,"","Total Government",-1,"Number","Annual Average Employment",80.83
"Andover","0901301080",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",42981.1
"Andover","0901301080",2015,"","Total Government",-1,"Number","Number of Employers",4
"Andover","0901301080",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",79.17
"Andover","0901301080",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",42622.3
"Andover","0901301080",2015,"","Local/Municipal Government",1,"Number","Number of Employers",3
"Andover","0901301080",2015,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",25.92
"Andover","0901301080",2015,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",30948.5
"Andover","0901301080",2015,"62","Health Care and Social Assistance",2,"Number","Number of Employers",3
"Andover","0901301080",2015,"56","Administrative and Waste Services",3,"Number","Annual Average Employment",16.92
"Andover","0901301080",2015,"56","Administrative and Waste Services",3,"US Dollars","Annual Average Wage",26654.2
"Andover","0901301080",2015,"56","Administrative and Waste Services",3,"Number","Number of Employers",4
"Ansonia","0900901220",2014,"23","Construction",-1,"Number","Annual Average Employment",115.17
"Ansonia","0900901220",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",46185.3
"Ansonia","0900901220",2014,"23","Construction",-1,"Number","Number of Employers",32
"Ansonia","0900901220",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",303.08
"Ansonia","0900901220",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",61250.2
"Ansonia","0900901220",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",20
