"Town/County","FIPS","Year","NAICS Code","Industry Name","Rank","Measure Type","Variable","Value"
"Andover","0901301080",2014,"23","Construction",-1,"Number","Annual Average Employment",43.17
"Andover","0901301080",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",55289.84
"Andover","0901301080",2014,"23","Construction",-1,"Number","Number of Employers",12
"Andover","0901301080",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Andover","0901301080",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Andover","0901301080",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Andover","0901301080",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",-9999
"Andover","0901301080",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",-9999
"Andover","0901301080",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",-9999
"Andover","0901301080",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",380.5
"Andover","0901301080",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",38107.56
"Andover","0901301080",2014,"","Total - All Industries",-1,"Number","Number of Employers",50
"Andover","0901301080",2014,"","Total Government",-1,"Number","Annual Average Employment",86.58
"Andover","0901301080",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",43122.51
"Andover","0901301080",2014,"","Total Government",-1,"Number","Number of Employers",4
"Andover","0901301080",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",84.75
"Andover","0901301080",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",42601.07
"Andover","0901301080",2014,"","Local/Municipal Government",1,"Number","Number of Employers",3
"Andover","0901301080",2014,"56","Administrative and Waste Services",2,"Number","Annual Average Employment",27.92
"Andover","0901301080",2014,"56","Administrative and Waste Services",2,"US Dollars","Annual Average Wage",15536.02
"Andover","0901301080",2014,"56","Administrative and Waste Services",2,"Number","Number of Employers",5
"Andover","0901301080",2014,"62","Health Care and Social Assistance",3,"Number","Annual Average Employment",25.75
"Andover","0901301080",2014,"62","Health Care and Social Assistance",3,"US Dollars","Annual Average Wage",26572.27
"Andover","0901301080",2014,"62","Health Care and Social Assistance",3,"Number","Number of Employers",3
"Andover","0901301080",2015,"23","Construction",-1,"Number","Annual Average Employment",44.33
"Andover","0901301080",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",54949.35
"Andover","0901301080",2015,"23","Construction",-1,"Number","Number of Employers",11
"Andover","0901301080",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Andover","0901301080",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Andover","0901301080",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Andover","0901301080",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",13.17
"Andover","0901301080",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",13737.11
"Andover","0901301080",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",3
"Andover","0901301080",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",372.08
"Andover","0901301080",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",35156.08
"Andover","0901301080",2015,"","Total - All Industries",-1,"Number","Number of Employers",52
"Andover","0901301080",2015,"","Total Government",-1,"Number","Annual Average Employment",80.83
"Andover","0901301080",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",42981.07
"Andover","0901301080",2015,"","Total Government",-1,"Number","Number of Employers",4
"Andover","0901301080",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",79.17
"Andover","0901301080",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",42622.33
"Andover","0901301080",2015,"","Local/Municipal Government",1,"Number","Number of Employers",3
"Andover","0901301080",2015,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",25.92
"Andover","0901301080",2015,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",30948.46
"Andover","0901301080",2015,"62","Health Care and Social Assistance",2,"Number","Number of Employers",3
"Andover","0901301080",2015,"56","Administrative and Waste Services",3,"Number","Annual Average Employment",16.92
"Andover","0901301080",2015,"56","Administrative and Waste Services",3,"US Dollars","Annual Average Wage",26654.19
"Andover","0901301080",2015,"56","Administrative and Waste Services",3,"Number","Number of Employers",4
"Andover","0901301080",2016,"23","Construction",-1,"Number","Annual Average Employment",33.75
"Andover","0901301080",2016,"23","Construction",-1,"US Dollars","Annual Average Wage",53773.24
"Andover","0901301080",2016,"23","Construction",-1,"Number","Number of Employers",10
"Andover","0901301080",2016,"31-33","Manufacturing",-1,"Number","Annual Average Employment",46.67
"Andover","0901301080",2016,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",46831.86
"Andover","0901301080",2016,"31-33","Manufacturing",-1,"Number","Number of Employers",3
"Andover","0901301080",2016,"44-45","Retail Trade",-1,"Number","Annual Average Employment",14.17
"Andover","0901301080",2016,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",15756.49
